Neighborhood,Sector #,Population (2010),Total # Units (2000),Total # Units (2010),% Occupied Units (2010),% Vacant Units (2010),# Occupied Units (2010),% Owner Occupied Units (2010),% Renter Occupied Units (2010),Est. Avg. Yrs. of Residence (2010),% Living in Household (2010),% Living in Group Quarters (2010),% Units Built 00-09,% Units Built 90-99,% Units Built 80-89,% Units Built 60-79,% Units Built 40-59,% Units Built before 1939,Median Home Value (2000),Med. Val. ('00 in '10 Dollars),Median Home  Value (2010),% Change Real Value 2000-2010,Median Sale Price (2010),# Sales Counted (2010),Foreclosures (2008),Foreclosures (2010),% of all Housing Units Foreclosed (2010)
Allegheny Center,3,933,675,"1,052",51.50%,48.50%,535,10.10%,89.90%,0,100.00%,0.00%,4.60%,2.10%,7.40%,67.30%,17.30%,1.30%,"$86,500 ","$109,535 ","$136,300 ",24.40%,N/A,0,0,0,0.00%
Allegheny West,3,462,390,355,74.90%,25.10%,203,18.20%,81.80%,15,100.00%,0.00%,0.00%,3.60%,0.00%,7.90%,31.00%,57.40%,"$159,700 ","$202,228 ","$123,600 ",-38.90%,"$309,940 ",7,0,1,0.30%
Allentown,6,2500,"1,505","1,291",80.00%,20.00%,953,59.20%,40.80%,5,92.10%,7.90%,0.00%,1.50%,8.20%,7.10%,20.30%,62.90%,"$34,300 ","$43,434 ","$42,200 ",-2.80%,"$8,500 ",70,27,11,0.90%
Arlington,7,1869,880,886,86.60%,13.40%,754,65.40%,34.60%,11,100.00%,0.00%,0.00%,1.10%,1.60%,0.50%,24.50%,72.30%,"$38,800 ","$49,132 ","$44,200 ",-10.00%,"$15,397 ",34,12,13,1.50%
Arlington Heights,7,244,557,148,91.20%,8.80%,139,18.70%,81.30%,2,100.00%,0.00%,0.00%,0.00%,7.10%,35.30%,48.40%,9.20%,"$45,000 ","$56,984 ","$64,400 ",13.00%,N/A,0,0,0,0.00%
Banksville,5,4144,"2,203","2,118",95.40%,4.60%,"2,093",49.90%,50.10%,5,85.20%,14.80%,1.30%,9.80%,4.60%,41.60%,38.20%,4.60%,"$87,200 ","$110,421 ","$110,900 ",0.40%,"$101,431 ",40,7,5,0.20%
Bedford Dwellings,15,1202,"1,049",746,87.30%,12.70%,695,7.60%,92.40%,2,100.00%,0.00%,3.70%,8.10%,7.50%,11.90%,30.10%,38.60%,"$17,200 ","$21,780 ","$81,100 ",272.40%,$200 ,1,0,1,0.10%
Beechview,5,7974,"4,048","3,939",89.30%,10.70%,"3,518",58.70%,41.30%,6,100.00%,0.00%,0.50%,0.50%,3.60%,15.00%,37.70%,42.70%,"$56,150 ","$71,103 ","$72,400 ",1.80%,"$36,068 ",128,64,40,1.00%
Beltzhoover,6,1925,"1,298","1,085",73.50%,26.50%,849,73.50%,26.50%,17,100.00%,0.00%,2.80%,0.00%,0.80%,9.20%,19.80%,67.40%,"$34,000 ","$43,054 ","$36,000 ",-16.40%,"$2,744 ",39,12,11,1.00%
Bloomfield,12,8442,"5,432","5,136",89.00%,11.00%,"4,924",36.70%,63.30%,3,99.60%,0.40%,1.10%,0.60%,1.40%,7.10%,16.80%,73.00%,"$60,560 ","$76,687 ","$92,840 ",21.10%,"$99,250 ",118,18,12,0.20%
Bluff,15,6600,721,388,72.70%,27.30%,293,37.20%,62.80%,0,7.20%,92.80%,0.00%,1.40%,5.40%,14.00%,14.70%,64.50%,"$40,600 ","$51,412 ","$21,200 ",-58.80%,"$50,000 ",40,0,1,0.30%
