PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
214368107,19220799,99,2019-10-29T13:40:00,"Cecil Pl & Penn Ave Pittsburgh, PA 15222",N,Central Business District,2,FOUND PROPERTY,9489 Found Property,201,6,6,-80.0030996385366,40.4424974234018
214376833,19220899,99,2019-10-29T16:12:00,"200 Block Mayflower St Pittsburgh, PA 15206",N,Larimer,5,MISCELLANEOUS FIRE OTHER INVEST CONTINUED,9123 Miscellaneous Fire Other Investigation to Continue,1208,,,0,0
214379292,19220863,26,2019-10-28T16:00:00,"2600 Block Centre Ave Pittsburgh, PA 15219",Y,Terrace Village,2,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a)(4) Harassment Communicates Prohibited Acts,510,6,3,-79.9683796165261,40.4465060729526
214379407,19221009,6,2019-10-29T15:00:00,"900 Block Beech Ave Pittsburgh, PA 15233",N,Allegheny West,1,THEFT FROM AUTO,3934 Theft from Vehicle,2201,,,0,0
214379413,19211917,6,2019-10-17T12:25:00,"600 Block 1st Ave Pittsburgh, PA 15219",Y,Central Business District,2,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,201,6,6,-79.9960409452176,40.4350395659104
214380175,19221016,99,2019-10-29T18:37:00,"3800 Block O Hara St Pittsburgh, PA 15213",Y,North Oakland,4,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,403,,,0,0
-3280001155,19221042,99,2019-10-29T19:15:00,"100 Block Alluvian St Pittsburgh, PA 15207",N,Hazelwood,4,ACCIDENTAL FIRE,9018 Accidental Fire,1515,,,0,0
214386102,19221084,99,2019-10-29T20:30:00,"3400 Block Colby St Pittsburgh, PA 15214",N,Summer Hill,1,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),2612,,,0,0
214189531,19218345,99,2019-10-26T08:48:00,"Moga St Pittsburgh, PA 15206",N,East Liberty,5,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1113,9,2,-79.917509829581,40.4671803673948
214093475,19217087,6,2019-10-24T14:30:00,"600 Block Melwood Ave Pittsburgh, PA 15213",N,North Oakland,4,THEFT FROM AUTO,3934 Theft from Vehicle,507,6,3,-79.9541814755915,40.4575761662433
214021564,19216509,99,2019-10-23T19:39:00,"Butler St & 62nd St Brg Pittsburgh, PA 15201",N,Morningside,5,FOUND PROPERTY,9489 Found Property,1014,7,2,-79.9377669153741,40.4882220881359
214197528,19218540,99,2019-10-26T14:42:00,"3800 Block Chartiers Ave Pittsburgh, PA 15204",N,Windgap,6,MISCELLANEOUS FIRE OTHER INVEST CONTINUED,9123 Miscellaneous Fire Other Investigation to Continue,2807,2,5,-80.0754712259101,40.4582785859361
214199589,19218499,0,2019-10-26T12:30:00,"1100 Block McKinney  Ln Pittsburgh, PA 15220",N,Ridgemont,6,99,2709(a)(2) Harassment by Following Person in Public Place(s),2016,2,5,-80.035068083793,40.4234966720764
214202827,19218648,6,2019-10-26T12:00:00,"5500 Block Centre Ave Pittsburgh, PA 15232",N,Shadyside,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,709,7,2,-79.9364623699551,40.4565877817342
214204809,19218698,0,2019-10-26T19:26:00,"200 Block Seward St Pittsburgh, PA 15211",N,Duquesne Heights,3,99,9999 9999 - (Misc. Incident): ,1911,2,5,-80.0245810540397,40.4400740149631
214207802,19218799,0,2019-10-26T21:33:00,"2900 Block Stafford St Pittsburgh, PA 15204",N,Sheraden,6,99,9999 9999 - (Misc. Incident): ,2018,2,5,-80.0504727005128,40.4567405354118
214366168,19220807,27,2019-10-28T20:45:00,"50 Block Stratmore St Pittsburgh, PA 15205",N,Crafton Heights,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2815,2,5,-80.0555044002599,40.4387766826723
-3314003187,19219996,10,2019-10-28T08:00:00,"300 Block Alice St Pittsburgh, PA 15210",N,Knoxville,3,SIMPLE ASSAULT,2701 Simple Assault. / 9999 9999 - (Misc. Incident): ,3001,3,5,-79.9935231972566,40.4097874382891
214370277,19220836,26,2019-10-28T14:00:00,"2500 Block N Charles St Pittsburgh, PA 15214",N,Perry South,1,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a)(4) Harassment Communicates Prohibited Acts,2615,6,1,-80.0188204309074,40.4668936831573
-3262001113,19220847,0,2019-10-29T15:20:00,"1600 Block Canton Ave Pittsburgh, PA 15216",N,Beechview,6,99,9999 9999 - (Misc. Incident): Traffic Accident,1916,4,5,-80.0301330717878,40.4103699258688
214375607,19220911,5,2019-10-29T16:00:00,"700 Block Mc Lain St Pittsburgh, PA 15210",N,Allentown,3,BURGLARY,3502 Burglary.,1803,3,5,-79.9958385034292,40.4242109104584
214376552,19220278,0,2019-10-28T18:00:00,"2800 Block Webster Ave Pittsburgh, PA 15219",N,Middle Hill,2,99,2709.A3 HARASSMENT - COURSE OF CONDUCT W/NO LEGIT. PURPOSE,501,6,3,-79.9687338410956,40.4510709664858
214173080,19218326,99,2019-10-26T07:30:00,"Atwood St & Sennott St Pittsburgh, PA 15213",N,Central Oakland,4,FOUND PROPERTY,9489 Found Property,405,3,3,-79.9568698102906,40.440489891283
214189289,19218377,14,2019-10-26T09:30:00,"Chicago St & Mt Pleasant Rd Pittsburgh, PA 15214",N,Northview Heights,1,CRIM MISCHIEF,3304 Criminal Mischief.,2609,1,1,-80.0008546522614,40.4786172235021
214190571,19218434,10,2019-10-26T11:25:00,"300 Block Wood St Pittsburgh, PA 15222",Y,Central Business District,2,SIMPLE ASSAULT,2701 Simple Assault.,201,,,-80.0581533364063,40.5044573772531
214233043,19219260,0,2019-10-27T14:44:00,"600 Block Smithfield St Pittsburgh, PA 15219",N,Central Business District,2,99,1332 Display of Registration Plate. / 1301 Registration and Certificate of Title Required.,201,6,6,-79.9974088316752,40.4415332222525
214233127,19219332,0,2019-10-26T15:30:00,"1400 Block Washington Blvd Pittsburgh, PA 15206",N,Highland Park,5,99,9999 9999 - (Misc. Incident): Destroyed property,1106,9,2,-79.9086166765251,40.4703056329977
214233520,19219292,0,2019-10-27T14:51:00,"200 Block Hornaday Rd Pittsburgh, PA 15210",N,Carrick,3,99,9999 9999 - (Misc. Incident): ,2902,4,3,-79.9827343113358,40.3950320678444
214233885,19219164,6,2019-10-27T11:10:00,"900 Block Rosselle Ct Pittsburgh, PA 15207",N,Glen Hazel,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1504,,,0,0
214238287,19219474,14,2019-10-27T19:00:00,"Schenley Dr & Frank Curto Dr Pittsburgh, PA 15217",N,Squirrel Hill South,4,CRIM MISCHIEF,3304 Criminal Mischief.,1413,5,3,-79.9463562780368,40.4387557414829
214238553,19219426,0,2019-10-27T18:04:00,"3100 Block Frederick St Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,99,9093 Indirect Criminal Contempt,2715,1,1,-80.0308339778974,40.4733559324907
214242235,19216539,4,2019-10-23T20:28:00,"100 Block S 7th St Pittsburgh, PA 15203",Y,South Side Flats,3,AGG-ASSAULT,2702 Aggravated Assault. / 901 Criminal Attempt,1702,6,6,-80.000996797488,40.4441447479242
-3343007226,19219594,6,2019-10-27T23:50:00,"200 Block Melwood Ave Pittsburgh, PA 15213",N,North Oakland,4,THEFT,3921 Theft by Unlawful Taking or Disposition.,507,8,3,-79.9497795440501,40.4501310194209
214264885,19219789,99,2019-10-28T08:30:00,"5600 Block Mc Candless St Pittsburgh, PA 15201",N,Stanton Heights,5,LOST PROPERTY,9504 Lost Property,1018,,,0,0
214272134,19219831,99,2019-10-23T15:10:00,"500 Block Finley St Pittsburgh, PA 15206",N,Larimer,5,DOG BITE,9492 Dog Bite,1208,9,2,-79.9080221905959,40.4604364976955
214238443,19219334,6,2019-10-27T16:00:00,"3100 Block Cordell Pl Pittsburgh, PA 15203",N,Arlington Heights,3,THEFT,3921 Theft by Unlawful Taking or Disposition.,1604,3,3,-79.963452973864,40.4177171713236
214387525,19217327,3,2019-10-24T22:13:00,"7200 Block Frankstown Ave Pittsburgh, PA 15208",Y,Homewood North,5,ROBBERY,3701 Robbery. / 2702 Aggravated Assault.,1302,9,2,-79.8962697960688,40.4573889155008
